Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,Facies
2859.0,108.34,0.93,4.9,9.65,3.9,4
2859.5,107.75,0.946,6.5,9.85,3.9,4
2860.0,92.63,0.945,5.3,8.55,3.8,4
2860.5,70.46,0.935,1.9,6.25,3.7,4
2861.0,55.67,0.924,-0.5,4.65,3.7,8
2861.5,49.35,0.919,-1.2,4.1,3.6,8
2862.0,46.82,0.918,-1.0,4.8,3.6,8
2862.5,48.11,0.91,-0.1,6.65,3.8,8
2863.0,51.66,0.886,1.5,8.65,3.7,5
2863.5,49.73,0.847,3.2,10.1,3.6,5
2864.0,51.46,0.801,4.1,11.25,3.6,5
2864.5,54.67,0.757,5.0,12.1,3.6,4
2865.0,56.96,0.721,5.2,12.4,3.6,4
2865.5,58.67,0.693,6.2,12.7,3.6,4
2866.0,61.19,0.675,6.6,12.9,3.6,4
2866.5,60.77,0.666,6.7,13.25,3.7,4
2867.0,60.99,0.661,6.2,13.5,3.7,4
2867.5,63.65,0.658,6.1,13.75,3.6,4
2868.0,66.98,0.654,6.0,13.8,3.5,4
2868.5,68.44,0.646,5.5,14.35,3.5,4
2869.0,71.39,0.638,5.0,14.8,3.4,4
2869.5,73.08,0.63,5.2,14.5,3.3,4
2870.0,71.86,0.624,4.9,14.75,3.3,4
2870.5,71.83,0.623,5.2,14.9,3.3,4
2871.0,70.27,0.624,5.8,15.1,3.3,4
2871.5,69.65,0.626,6.2,14.8,3.4,4
2872.0,66.78,0.631,5.7,14.15,3.5,4
2872.5,64.06,0.638,5.9,12.95,3.5,4
2873.0,60.24,0.651,5.1,11.65,3.5,4
2873.5,58.25,0.667,4.2,11.4,3.4,4
2874.0,56.79,0.687,3.5,10.95,3.4,6
2874.5,58.0,0.703,1.8,10.5,3.3,6
2875.0,60.75,0.71,0.8,10.6,3.3,6
2875.5,64.48,0.707,2.5,10.45,3.4,4
2876.0,65.37,0.693,4.1,10.25,3.5,4
2876.5,65.84,0.672,3.2,10.8,3.4,4
2877.0,67.38,0.65,2.7,11.45,3.3,4
2877.5,67.07,0.626,3.0,12.0,3.2,4
2878.0,65.28,0.603,3.6,12.8,3.0,4
2878.5,65.26,0.58,3.3,13.75,2.9,4
2879.0,63.4,0.559,3.1,13.85,2.9,4
2879.5,64.1,0.544,3.0,13.9,2.8,4
2880.0,66.77,0.542,2.7,14.45,2.8,4
2880.5,69.72,0.554,3.2,14.8,2.9,4
2881.0,71.0,0.58,4.4,15.2,3.1,4
2881.5,69.77,0.617,5.9,14.65,3.3,4
2882.0,64.39,0.665,5.5,12.45,3.6,4
2882.5,60.94,0.721,4.9,9.45,4.0,4
2883.0,56.89,0.785,3.4,7.1,4.3,4
2883.5,54.2,0.856,2.7,5.45,4.5,6
2884.0,53.14,0.923,1.3,4.35,4.5,6
2884.5,52.7,0.961,0.9,3.45,4.3,6
2885.0,51.93,0.946,0.7,3.65,4.1,6
2885.5,56.1,0.887,1.1,4.55,4.0,8
2886.0,61.49,0.805,2.5,5.95,3.7,8
2886.5,68.77,0.725,3.8,8.1,3.4,5
2887.0,78.57,0.658,-0.6,14.2,3.2,5
2887.5,85.47,0.61,-2.5,21.35,3.0,5
2888.0,88.63,0.583,-0.6,28.2,3.0,5
2888.5,88.97,0.569,-0.1,31.65,2.9,2
2889.0,84.66,0.567,0.2,30.2,3.1,3
2889.5,76.48,0.574,0.8,24.4,3.4,3
2890.0,69.35,0.595,-0.7,18.45,3.5,3
2890.5,63.07,0.63,7.7,10.55,3.9,3
2891.0,59.01,0.675,7.8,9.3,4.0,3
2891.5,59.94,0.719,8.8,8.0,4.1,3
2892.0,61.89,0.75,6.5,9.45,4.0,3
2892.5,63.84,0.763,6.0,10.1,3.8,3
2893.0,65.13,0.76,6.8,10.7,3.8,3
2893.5,65.86,0.745,6.8,11.2,3.7,3
2894.0,64.98,0.728,7.3,11.25,3.7,3
2894.5,63.13,0.713,6.7,11.25,3.6,3
2895.0,61.3,0.702,6.7,10.65,3.6,3
2895.5,59.07,0.695,6.6,10.5,3.5,3
2896.0,54.86,0.691,4.8,9.9,3.4,3
2896.5,52.06,0.688,3.1,9.45,3.2,3
2897.0,50.25,0.682,1.9,8.85,3.1,2
2897.5,49.94,0.671,1.0,8.6,3.1,2
2898.0,49.52,0.656,0.5,8.45,3.2,2
2898.5,50.38,0.644,0.9,8.35,3.3,2
2899.0,51.74,0.633,1.7,8.85,3.3,2
2899.5,54.38,0.623,3.3,9.95,3.4,2
2900.0,57.35,0.613,5.7,10.75,3.3,2
2900.5,60.11,0.6,7.2,11.0,3.3,2
2901.0,60.58,0.589,8.6,11.4,3.2,2
2901.5,62.39,0.59,8.2,12.6,3.1,2
2902.0,64.39,0.605,3.8,15.3,3.0,2
2902.5,63.97,0.632,0.4,19.4,3.1,2
2903.0,58.9,0.664,1.6,20.6,3.4,2
2903.5,49.15,0.69,-3.2,18.6,3.7,2
2904.0,37.28,0.713,-3.7,13.05,4.0,3
2904.5,37.28,0.713,-3.7,13.05,4.0,8
2905.0,24.56,0.743,-1.9,9.55,4.5,8
2905.5,18.18,0.785,-0.5,8.55,4.6,8
2906.0,15.89,0.841,1.5,8.05,4.6,8
2906.5,15.67,0.898,2.2,7.6,4.6,8
2907.0,15.77,0.932,1.0,7.1,4.5,8
2907.5,14.62,0.928,-0.1,6.35,4.5,8
2908.0,13.92,0.886,-0.3,5.85,4.6,8
2908.5,14.0,0.823,-0.2,6.0,4.4,8
2909.0,15.63,0.759,0.1,7.05,4.1,8
2909.5,18.49,0.708,0.8,9.2,3.9,8
2910.0,23.27,0.664,3.3,10.25,3.8,7
2910.5,29.04,0.627,5.5,10.85,3.6,7
2911.0,33.5,0.597,6.0,9.9,3.6,7
2911.5,35.92,0.575,7.3,8.65,3.7,7
2912.0,37.3,0.572,7.4,8.0,3.8,7
2912.5,37.93,0.587,5.0,8.9,3.9,7
2913.0,37.01,0.622,2.6,9.1,4.0,7
2913.5,34.72,0.671,0.6,8.8,4.2,5
2914.0,33.39,0.723,-1.2,7.9,4.3,5
2914.5,32.48,0.769,-1.6,6.8,4.4,6
2915.0,30.69,0.806,-1.6,6.2,4.8,6
2915.5,30.51,0.833,-0.5,5.45,4.8,6
2916.0,29.42,0.846,0.3,4.95,4.7,8
2916.5,30.47,0.842,-0.8,5.3,4.7,8
2917.0,32.09,0.822,-1.4,6.4,4.7,6
2917.5,32.14,0.79,-2.3,8.15,4.6,6
2918.0,32.99,0.757,-4.5,10.25,4.5,8
2918.5,31.58,0.727,-6.9,11.95,4.5,8
2919.0,29.07,0.706,-7.3,12.75,4.4,8
2919.5,29.97,0.693,-6.7,12.95,4.3,8
2920.0,37.44,0.688,-5.5,12.25,4.3,8
2920.5,52.59,0.687,-4.1,10.65,4.3,8
2921.0,68.18,0.684,-2.3,8.35,4.1,6
2921.5,80.25,0.674,-0.6,7.3,3.9,6
2922.0,86.51,0.65,1.8,7.9,3.7,8
2922.5,86.09,0.616,5.2,8.9,3.4,8
2923.0,86.09,0.616,5.2,8.9,3.4,4
2923.5,83.41,0.579,2.3,14.45,3.2,4
2924.0,84.51,0.545,1.3,19.65,3.2,3
2924.5,85.03,0.521,4.3,25.15,3.1,3
2925.0,87.36,0.5,7.2,28.7,3.1,3
2925.5,85.73,0.481,9.3,28.35,3.2,2
2926.0,80.2,0.465,7.0,24.5,3.1,2
2926.5,76.12,0.456,3.5,19.35,3.1,2
2927.0,74.5,0.467,10.2,14.1,3.5,2
2927.5,73.97,0.498,5.9,16.85,3.5,2
2928.0,71.24,0.545,5.1,20.15,3.6,3
2928.5,66.7,0.605,6.7,21.15,3.9,3
2929.0,66.7,0.605,6.7,21.15,3.9,6
2929.5,59.42,0.663,3.1,18.05,4.2,6
2930.0,49.0,0.713,-0.2,13.7,4.3,6
2930.5,39.46,0.76,-0.9,10.25,4.6,6
2931.0,32.31,0.816,-4.2,10.3,4.7,9
2931.5,26.09,0.886,-8.5,11.75,4.7,9
2932.0,22.37,0.96,-10.4,12.2,4.7,9
2932.5,19.97,1.01,-11.4,11.7,4.7,9
2933.0,18.36,1.013,-11.1,10.25,4.9,9
2933.5,16.5,0.964,-8.2,7.7,5.0,9
2934.0,14.84,0.88,-5.0,5.7,5.0,9
2934.5,15.72,0.786,-5.6,6.4,5.0,9
2935.0,17.86,0.7,-6.3,8.45,4.9,8
2935.5,19.9,0.623,-7.7,11.45,4.7,8
2936.0,22.42,0.561,-9.5,14.45,4.6,8
2936.5,22.62,0.517,-10.2,16.1,4.5,8
2937.0,20.93,0.489,-9.8,16.2,4.4,8
2937.5,19.85,0.48,-8.9,15.65,4.3,8
2938.0,18.3,0.494,-7.7,14.65,4.1,8
2938.5,19.39,0.531,-6.7,13.35,3.8,6
2939.0,24.34,0.585,-5.0,11.2,3.8,6
2939.5,29.67,0.646,-3.2,8.4,3.8,6
2940.0,33.9,0.709,-2.2,6.3,3.8,6
2940.5,39.83,0.757,-1.5,4.95,3.9,6
2941.0,44.94,0.794,-0.4,4.7,3.9,6
2941.5,48.55,0.814,0.0,6.2,3.8,4
2942.0,57.21,0.779,3.8,8.5,3.6,3
2942.5,60.19,0.732,3.8,9.0,3.5,3
2943.0,60.63,0.684,4.0,9.4,3.4,3
2943.5,64.74,0.645,-2.3,14.75,3.2,3
2944.0,72.79,0.623,-2.9,18.95,3.1,3
2944.5,78.41,0.614,-1.7,22.15,3.0,3
2945.0,83.39,0.607,-0.9,21.65,3.1,3
2945.5,82.25,0.6,1.9,17.85,3.3,3
2946.0,75.88,0.592,7.3,12.25,3.4,3
2946.5,72.24,0.589,2.9,12.45,3.3,2
2947.0,67.99,0.589,3.5,11.95,3.2,2
2947.5,65.41,0.59,3.9,11.45,3.3,3
2948.0,64.93,0.588,3.3,10.65,3.3,3
2948.5,61.87,0.579,1.8,11.1,3.2,2
2949.0,59.81,0.565,3.9,10.85,3.2,2
2949.5,60.59,0.547,5.0,11.6,3.2,2
2950.0,65.68,0.529,6.1,11.75,3.2,2
2950.5,73.12,0.519,7.0,12.1,3.2,2
2951.0,77.69,0.52,8.5,12.85,3.3,2
2951.5,77.23,0.537,10.0,13.9,3.4,3
2952.0,72.51,0.567,11.2,14.1,3.5,3
2952.5,59.53,0.605,10.2,13.3,3.9,3
2953.0,59.53,0.605,10.2,13.3,3.9,5
2953.5,46.1,0.644,6.5,12.45,4.0,8
2954.0,34.9,0.68,2.6,8.5,4.3,8
2954.5,27.06,0.711,-0.4,6.7,4.4,8
2955.0,23.8,0.724,0.1,6.05,4.4,8
2955.5,23.73,0.714,2.1,5.95,4.2,8
2956.0,25.3,0.677,3.7,6.85,4.0,8
2956.5,30.73,0.627,4.7,8.05,3.6,8
2957.0,40.11,0.583,5.2,9.8,3.4,5
2957.5,51.02,0.553,3.6,12.3,3.2,9
2958.0,59.94,0.533,4.1,14.55,3.1,3
2958.5,66.64,0.521,5.9,14.85,3.0,3
2959.0,67.56,0.512,3.2,12.7,2.9,2
2959.5,64.7,0.512,2.3,10.55,3.0,2
2960.0,62.96,0.522,2.2,9.5,3.2,2
2960.5,63.92,0.544,2.4,9.7,3.2,2
2961.0,66.19,0.569,3.1,10.35,3.2,3
2961.5,67.73,0.591,4.9,10.75,3.3,2
2962.0,69.53,0.603,6.0,11.4,3.3,2
2962.5,69.57,0.609,6.2,11.5,3.1,2
2963.0,66.4,0.606,4.5,10.65,3.1,2
2963.5,63.73,0.602,2.7,9.65,3.1,2
2964.0,61.19,0.598,2.3,8.85,3.2,2
2964.5,61.34,0.593,2.2,8.8,3.2,2
2965.0,63.16,0.587,2.2,9.5,3.2,2
2965.5,67.6,0.581,2.7,10.05,3.2,2
2966.0,72.68,0.579,3.6,10.8,3.2,2
2966.5,76.58,0.587,6.5,11.35,3.2,2
2967.0,76.67,0.605,7.8,13.5,3.4,3
2967.5,72.12,0.629,8.8,15.1,3.6,3
2968.0,60.07,0.656,7.7,13.75,3.9,8
2968.5,48.91,0.681,4.9,10.65,4.3,8
2969.0,39.4,0.708,5.4,7.3,4.7,8
2969.5,33.8,0.736,1.6,7.7,4.9,8
2970.0,34.66,0.757,1.5,7.75,4.7,6
2970.5,36.28,0.766,2.6,6.4,4.8,6
2971.0,34.45,0.753,2.9,5.75,4.5,6
2971.5,30.67,0.72,2.7,6.25,4.3,6
2972.0,26.59,0.668,4.6,6.5,4.2,5
2972.5,23.77,0.609,5.5,6.35,4.0,5
2973.0,25.2,0.55,4.9,6.65,3.8,6
2973.5,29.99,0.5,5.3,7.25,3.5,6
2974.0,37.46,0.461,6.1,8.85,3.4,4
2974.5,47.6,0.433,7.8,11.5,3.2,2
2975.0,57.5,0.41,9.3,14.95,3.0,2
2975.5,68.77,0.389,9.4,19.0,2.9,3
2976.0,80.03,0.373,9.8,20.6,2.9,3
2976.5,84.28,0.358,9.0,21.8,3.0,3
2977.0,85.4,0.346,11.2,20.9,3.1,3
2977.5,88.92,0.338,12.6,19.9,3.3,3
2978.0,89.45,0.336,13.2,19.8,3.3,3
2978.5,90.91,0.342,12.9,20.05,3.3,3
2979.0,97.24,0.356,14.2,20.1,3.4,3
2979.5,100.16,0.382,13.0,21.7,3.5,3
2980.0,100.42,0.42,13.8,23.0,3.5,3
2980.5,94.18,0.464,11.8,22.9,3.5,3
2981.0,94.18,0.464,11.8,22.9,3.5,3
2981.5,81.3,0.513,8.4,20.6,3.7,8
2982.0,64.21,0.571,3.4,15.0,3.8,8
2982.5,48.35,0.639,2.5,9.95,4.1,8
2983.0,36.53,0.72,1.3,7.95,4.4,8
2983.5,33.58,0.797,3.1,6.95,4.6,8
2984.0,34.97,0.866,2.9,6.95,4.7,6
2984.5,37.31,0.917,2.8,6.2,4.6,6
2985.0,38.17,0.944,2.7,5.35,4.7,5
2985.5,38.05,0.957,2.8,4.7,4.8,5
2986.0,35.15,0.957,2.1,4.15,4.8,5
2986.5,32.92,0.947,1.4,3.1,4.8,5
2987.0,30.87,0.927,0.8,2.6,4.9,5
2987.5,30.25,0.894,-0.4,3.3,4.9,6
2988.0,31.22,0.846,-1.4,5.5,4.9,6
2988.5,34.06,0.78,-1.9,7.95,4.8,6
2989.0,35.49,0.704,-2.8,9.8,4.8,6
2989.5,36.73,0.617,-3.2,10.7,4.9,6
2990.0,37.54,0.542,-4.8,12.2,4.8,9
2990.5,35.97,0.48,-5.7,14.35,4.7,9
2991.0,35.91,0.433,-6.2,16.4,4.7,9
2991.5,36.21,0.396,-7.0,17.3,4.7,9
2992.0,34.79,0.371,-7.1,17.45,4.6,9
2992.5,34.92,0.358,-7.1,17.75,4.6,9
2993.0,35.83,0.358,-6.2,17.6,4.6,9
2993.5,35.65,0.367,-4.9,16.65,4.6,9
2994.0,37.74,0.375,-5.3,15.95,4.6,9
2994.5,41.79,0.377,-5.0,14.9,4.5,9
2995.0,46.41,0.369,-5.1,14.35,4.5,9
2995.5,51.44,0.356,-6.1,14.95,4.5,9
2996.0,54.21,0.344,-5.8,16.1,4.5,9
2996.5,52.96,0.34,-5.3,17.45,4.6,9
2997.0,50.39,0.346,-4.2,18.3,4.6,9
2997.5,50.0,0.36,-3.7,17.55,4.6,9
2998.0,60.82,0.384,-3.8,15.2,4.7,9
2998.5,99.31,0.418,-3.4,11.6,4.6,9
2999.0,166.94,0.464,-2.5,8.25,4.6,6
2999.5,235.25,0.526,-0.1,5.85,4.6,6
3000.0,285.47,0.599,3.0,4.6,4.4,6
3000.5,305.87,0.666,4.4,4.8,4.3,6
3001.0,291.37,0.703,4.9,5.05,4.2,6
3001.5,252.41,0.7,4.2,5.9,3.9,6
3002.0,208.53,0.669,0.3,10.15,3.6,8
3002.5,169.07,0.631,-0.2,15.0,3.4,5
3003.0,136.52,0.594,2.5,17.75,3.4,3
3003.5,108.53,0.561,6.2,20.7,3.3,3
3004.0,89.16,0.533,10.4,19.6,3.4,3
3004.5,80.39,0.513,13.5,18.25,3.5,3
3005.0,78.07,0.501,14.3,18.05,3.6,3
3005.5,76.31,0.496,13.7,18.35,3.6,3
3006.0,72.35,0.497,13.2,18.6,3.7,3
3006.5,74.77,0.504,11.8,19.3,3.7,3
3007.0,75.05,0.515,11.5,19.55,3.8,3
3007.5,71.98,0.529,10.5,19.35,3.8,3
3008.0,71.05,0.542,10.4,17.9,3.7,3
3008.5,68.96,0.549,10.7,15.75,3.7,3
3009.0,64.84,0.554,10.6,13.6,3.6,2
3009.5,65.22,0.558,10.6,12.6,3.6,2
3010.0,66.6,0.565,10.8,13.5,3.5,2
3010.5,68.59,0.574,12.4,14.6,3.5,2
3011.0,73.44,0.585,12.6,16.7,3.5,2
3011.5,76.76,0.595,14.4,16.7,3.4,2
3012.0,78.76,0.603,14.2,16.6,3.4,2
3012.5,80.33,0.607,12.5,16.15,3.6,2
3013.0,77.14,0.613,9.8,15.7,3.7,2
3013.5,71.91,0.621,9.5,13.95,3.7,2
3014.0,68.44,0.631,8.8,13.0,3.8,2
3014.5,64.99,0.64,10.6,11.3,3.8,2
3015.0,64.47,0.643,8.6,12.1,3.7,2
3015.5,64.96,0.632,9.1,12.15,3.6,2
3016.0,66.29,0.609,9.9,12.55,3.4,2
3016.5,67.6,0.577,10.4,12.8,3.4,2
3017.0,67.43,0.545,8.0,15.8,3.3,2
3017.5,68.87,0.52,5.8,19.5,3.2,2
3018.0,73.88,0.502,6.1,21.45,3.3,2
3018.5,77.89,0.49,6.5,23.15,3.4,2
3019.0,83.49,0.484,6.3,23.15,3.4,2
3019.5,87.98,0.484,9.9,21.65,3.4,2
3020.0,86.45,0.497,9.5,21.25,3.4,2
3020.5,86.29,0.521,10.3,19.95,3.4,2
3021.0,82.18,0.565,14.1,17.95,3.6,2
3021.5,77.07,0.621,8.9,20.65,3.5,2
3022.0,72.45,0.689,8.5,21.65,3.8,2
3022.5,63.1,0.753,4.9,20.55,3.8,2
3023.0,49.23,0.806,-1.4,15.3,3.9,2
3023.5,37.7,0.852,0.8,9.0,4.3,8
3024.0,26.37,0.89,2.4,6.1,4.5,8
3024.5,19.57,0.916,0.6,7.0,4.5,6
3025.0,17.32,0.916,0.4,7.0,4.3,6
3025.5,17.09,0.891,0.2,6.1,4.1,6
3026.0,19.53,0.856,-0.1,5.75,3.9,6
3026.5,25.62,0.826,0.7,6.25,3.7,6
3027.0,33.05,0.808,2.5,7.85,3.5,6
3027.5,42.69,0.796,5.2,9.9,3.4,6
3028.0,47.37,0.786,6.1,10.75,3.4,6
3028.5,47.9,0.781,6.0,9.9,3.5,6
3029.0,45.19,0.787,4.5,8.95,3.6,6
3029.5,40.54,0.812,3.5,8.55,3.7,6
3030.0,38.91,0.851,2.7,8.45,3.8,6
3030.5,39.62,0.898,2.2,8.1,4.1,6
3031.0,38.84,0.936,2.7,6.85,4.0,6
3031.5,37.8,0.961,1.0,6.0,4.2,6
3032.0,35.03,0.979,0.2,5.1,4.2,6
3032.5,33.44,0.999,-0.3,4.95,4.1,6
3033.0,36.21,1.024,0.1,5.75,3.9,6
3033.5,40.89,1.05,1.4,6.8,3.9,6
3034.0,43.3,1.063,2.6,7.4,3.9,6
3034.5,43.27,1.06,1.9,7.05,3.7,6
3035.0,38.84,1.048,0.3,5.45,3.8,6
3035.5,35.26,1.04,-1.0,4.6,4.0,6
3036.0,31.52,1.039,-1.0,4.4,3.9,6
3036.5,34.32,1.042,0.4,4.7,3.9,6
3037.0,37.35,1.043,1.5,5.65,4.0,6
3037.5,39.69,1.035,2.4,6.4,4.0,6
3038.0,43.08,1.024,2.1,7.05,3.9,6
3038.5,46.27,1.015,1.5,7.15,3.8,6
3039.0,47.77,1.009,1.0,7.4,3.8,6
3039.5,49.96,1.008,0.3,7.45,3.9,6
3040.0,51.09,1.008,1.3,6.65,4.0,6
3040.5,50.21,1.007,1.6,5.7,4.1,6
3041.0,50.4,1.003,2.0,5.5,4.1,6
3041.5,50.99,0.994,3.1,5.75,4.2,6
3042.0,49.18,0.973,3.4,6.6,4.2,6
3042.5,48.64,0.94,4.1,6.85,4.1,6
3043.0,47.11,0.909,3.9,7.25,4.0,6
3043.5,48.61,0.889,2.9,7.85,3.9,6
3044.0,55.32,0.888,3.0,8.3,3.9,4
3044.5,60.5,0.907,4.2,9.0,3.9,4
3045.0,69.16,0.939,6.3,9.45,4.0,6
3045.5,77.53,0.979,6.6,8.0,4.2,6
3046.0,76.88,1.022,4.3,6.15,4.4,6
3046.5,70.4,1.064,2.4,4.0,4.4,9
3047.0,63.2,1.101,1.4,2.4,4.3,9
3047.5,53.89,1.118,-0.4,2.3,4.2,9
3048.0,56.2,1.107,-1.2,2.7,4.2,9
3048.5,78.23,1.074,-0.4,3.1,4.1,6
3049.0,112.92,1.022,-0.8,5.1,4.1,6
3049.5,144.15,0.963,0.4,7.7,4.1,6
3050.0,157.21,0.899,4.1,9.95,4.4,4
3050.5,152.6,0.839,5.6,11.4,4.2,5
3051.0,140.93,0.792,6.1,12.25,4.1,4
3051.5,122.45,0.761,6.6,13.3,4.0,4
3052.0,110.67,0.748,7.5,15.15,3.9,4
3052.5,108.85,0.754,7.3,15.85,3.6,4
3053.0,105.74,0.775,8.5,16.05,3.6,4
3053.5,100.04,0.803,9.5,16.85,3.7,4
3054.0,92.64,0.828,9.5,16.05,3.9,4
3054.5,80.47,0.841,6.8,12.5,4.0,6
3055.0,66.94,0.838,4.0,8.0,4.2,6
3055.5,54.06,0.823,1.9,5.45,4.3,6
3056.0,47.87,0.797,0.7,4.85,4.4,6
3056.5,49.34,0.763,2.3,4.85,4.1,6
3057.0,59.88,0.721,3.2,7.2,3.9,8
